Country,Year,Arrivals
Rwanda,2015,117
Senegal,2015,210
South Africa,2015,101943
Sudan,2015,107
Tanzania,2015,604
Togo,2015,103
Tunisia,2015,383
Uganda,2015,529
Zimbabwe,2015,1892
Zambia,2015,867
Afghanistan,2015,739
Bangladesh,2015,828
Hong Kong,2015,1327
India,2015,72135
Indonesia,2015,2270
Israel,2015,762
Japan,2015,1415
Korea,2015,3494
Malaysia,2015,2557
Maldives,2015,82
Nepal,2015,385
Pakistan,2015,1093
China,2015,89584
Philippines,2015,2017
Singapore,2015,1779
Sri Lanka,2015,322
Taiwan,2015,1257
Thailand,2015,377
Vietnam,2015,457
Bahrain,2015,145
Iran,2015,800
Jordan,2015,166
Kuwait,2015,527
Lebanon,2015,403
Oman,2015,228
Qatar,2015,416
Saudi Arabia,2015,2854
United Arab Emirates,2015,9049
Australia,2015,17835
New Zealand,2015,696
Brazil,2015,1947
Canada,2015,5608
USA,2015,8546
Austria,2016,16643
Belgium,2016,15675
Bulgaria,2016,1707
Czech Republic,2016,8503
Croatia,2016,449
Denmark,2016,6817
Estonia,2016,489
Finland,2016,4415
France,2016,271963
Germany,2016,103761
Greece,2016,1122
Hungary,2016,2432
Ireland,2016,3441
Italy,2016,31337
Latvia,2016,589
Lithuania,2016,792
Luxembourg,2016,1534
Netherlands,2016,10080
Norway,2016,4589
Poland,2016,10126
Portugal,2016,4222
Romania,2016,2813
Serbia,2016,455
Slovakia,2016,2934
Slovenia,2016,916
Spain,2016,15304
Sweden,2016,14551
Switzerland,2016,36272
Turkey,2016,3486
United Kingdom,2016,141904
Belarus,2016,422
Kazakhstan,2016,355
Russia,2016,9295
Ukraine,2016,3230
Comoros,2016,800
Madagascar,2016,11740
Seychelles,2016,6393
Algeria,2016,310
Angola,2016,505
Benin,2016,66
Botswana,2016,1088
Burundi,2016,93
Cameroon,2016,321
Congo,2016,724
Egypt,2016,607
Ethiopia,2016,272
Gabon,2016,215
Ghana,2016,889
Ivory coast,2016,350
Kenya,2016,3185
Lesotho,2016,223
Malawi,2016,402
Mayotte,2016,1189
Morocco,2016,674
Mozambique,2016,1144
Namibia,2016,1715
Niger,2016,164
Nigeria,2016,1372
Rwanda,2016,183
Senegal,2016,201
South Africa,2016,104834
Sudan,2016,79
Tanzania,2016,625
Togo,2016,78
Tunisia,2016,382
Uganda,2016,469
Zimbabwe,2016,2047
Zambia,2016,999
Afghanistan,2016,787
Bangladesh,2016,844
Hong Kong,2016,1342
India,2016,82670
Indonesia,2016,2375
Israel,2016,1161
Japan,2016,2655
Korea,2016,6025
Malaysia,2016,4628
Maldives,2016,54
Nepal,2016,587
Pakistan,2016,1610
China,2016,79374
Philippines,2016,2488
Singapore,2016,2840
Sri Lanka,2016,379
Taiwan,2016,1457
Thailand,2016,466
Vietnam,2016,729
Bahrain,2016,165
Iran,2016,837
Jordan,2016,154
Kuwait,2016,461
Lebanon,2016,380
Oman,2016,245
Qatar,2016,385
Saudi Arabia,2016,3164
United Arab Emirates,2016,9614
Australia,2016,18559
New Zealand,2016,939
Brazil,2016,2912
Canada,2016,6060
USA,2016,8524
Austria,2017,17596
Belgium,2017,16420
Bulgaria,2017,1386
Czech Republic,2017,10495
Croatia,2017,675
Denmark,2017,6971
Estonia,2017,808
Finland,2017,4461
France,2017,273419
Germany,2017,118856
Greece,2017,1034
Hungary,2017,2829
Ireland,2017,4020
Italy,2017,35101
Latvia,2017,672
Lithuania,2017,1046
Luxembourg,2017,1802
Netherlands,2017,13269
Norway,2017,5005
Poland,2017,11318
Portugal,2017,4254
